,name,origin,rating,roaster,aroma,acid,body,flavor,aftertaste,desc_1,desc_2,desc_3,label
528,Laura’s Reserve SL-28,"Holualoa, North Kona growing district, “Big Island” of Hawai'i",93,Hula Daddy Kona Coffee,9.0,9.0,8.0,9.0,8.0,"Classic, balanced, rich-toned. Honeysuckle, red currant, toffee, dried coconut, mango in aroma and cup. Sweetly tart in structure with bright acidity; velvety-smooth mouthfeel. The finish consolidates to toffee-toned red currant in the short and coconut in the long.","This coffee tied for the second-highest rating in a cupping of Hawai’i-grown coffees for Coffee Review’s May 2019 tasting report. Hula Daddy is a boutique coffee producer with farms at the 1,400 and 2,500 foot levels of the Mount Hualalai volcano near the northern end of the Kona growing district, five minutes above the town of Kailua-Kona. This coffee was produced entirely from trees of the distinguished SL-28 variety of Arabica, the most celebrated of the Bourbon-derived tree varieties responsible for Kenya’s finest coffees. This SL-28 was grown at the higher elevation Hula Daddy farm and processed with the ferment step conducted “dry” (no water added to the tank) using a commercial yeast. It is a limited-edition coffee only available for sale through the allocation list on the Hula Daddy website. Visit www.huladaddy.com or call 888-553-2339 for more information. ","A classic SL-28 cup, juicy-sweet with leading notes of red fruit and spice-toned sweet florals, supported by suggestions of buttery toffee.","9.0,9.0,8.0,9.0,8.0"
529,Ka’u Natural,"Ka'u growing region, Big Island of Hawai'i",93,Nine Point Coffee,9.0,9.0,8.0,9.0,8.0,"Richly fruit-toned, complexly layered. Cacao nib, jujube (red date), marjoram, freesia-like flowers, fresh pipe tobacco in aroma and cup. Sweetly tart structure with bright acidity; lightly satiny mouthfeel. The rich, long finish is flavor-saturated, consolidating to cocoa, fresh tobacco and marjoram.","This coffee tied for the second-highest rating in a cupping of Hawai’i-grown coffees for Coffee Review’s May 2019 tasting report. Comprised entirely of the Kona Typica variety of Arabica and sourced by Isla Custom Coffees (a sister company of Rusty’s Hawaiian) from various Ka’u farms. Processed by the natural method, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed coffees. Nine Point Coffee is a Taipei-based specialty roaster and cafe. For more information, visit https://m.facebook.com/NINEPOINTCOFFEE/?locale2=zh_TW.","An engaging natural-processed Ka’u coffee, fruit-driven, with a foundation of pipe tobacco and cocoa notes.","9.0,9.0,8.0,9.0,8.0"
530,Maui Kupa’a Orange Bourbon,"Kula, Island of Maui, Hawai'i",93,Origin Coffee Roasters,9.0,9.0,8.0,9.0,8.0,"Bright, crisply sweet-tart. Peach, honeysuckle, cinnamon, cedar, cacao nib in aroma and cup. Richly sweet, high-toned structure with citrusy acidity; crisp, silky mouthfeel. Peach and honeysuckle carry the short finish, while cocoa-toned cedar resurfaces in the long. ","This exceptional coffee was selected as the No. 16 coffee on Coffee Review’s list of the Top 30 Coffees of 2019. This coffee also tied for the second-highest rating in a cupping of Hawai’i-grown coffees for Coffee Review’s May 2019 tasting report. Produced by Gerry Ross and Janet Simpson at Kupa’a Farms entirely of the Orange Bourbon variety of Arabica, and processed by the wet or “washed” method, in which skin and fruit flesh are removed from the beans or seeds before they are dried. Founded by roaster Heather Brisson-Lutz in 2018, Origin Coffee Roasters highlights the origin of each carefully selected coffee with a roast profile that highlights the specific characteristics of the green. Visit www.origincoffeemaui.com for more information.","A window into the great potential of higher-grown, cool-climate Maui coffee: bright but balanced, sweet-toned, and subtly nuanced. Grown in Kula, an agricultural zone on the western-facing slopes of Mount Haleakala and source of most of the island’s locally grown fruits and vegetables.","9.0,9.0,8.0,9.0,8.0"
531,Honey Typica,"Ka'u growing region, Big Island of Hawai'i",92,Rusty's Hawaiian,9.0,8.0,8.0,9.0,8.0,"Crisply sweet, fruit- and spice-toned. Apricot, oak, baker’s chocolate, freesia, sandalwood in aroma and cup. Deeply sweet structure with a tart lift and lively acidity; satiny-smooth mouthfeel. The finish centers around crisp stone fruit and aromatic wood notes, with a hint of spicy flowers underneath.","This coffee tied for the third-highest rating in a cupping of Hawai’i-grown coffees for Coffee Review’s May 2019 tasting report. Ka’u is an emerging Hawai’i coffee-growing district centered approximately 30 miles southeast of the famous Kona region. This 100% Ka’u coffee was developed by Lorie Obra of Rusty’s, one of Ka’u’s best-known and most celebrated farms. Produced from trees of the traditional Typica variety and processed by the honey method, which means that the outer skin is removed as it is in the wet or “washed” process, but at least some of the sticky fruit residue is allowed to dry on the bean and later removed by machine along with the parchment skin. Visit www.rustyshawaiian.com or call 808-928-8916 for more information.","Richly floral and cleanly fruit-toned, an impressive and increasingly familiar style of natural- and honey-processed coffee from Ka’u producers.","9.0,8.0,8.0,9.0,8.0"
532,Ka’u Typica Natural,"Ka'u growing region, Big Island of Hawai'i",92,Three Chairs Specialty Turkish Coffee,9.0,8.0,8.0,9.0,8.0,"Crisply sweet-tart, balanced. Rose hips, almond nougat, orange zest, apricot, cedar in aroma and cup. Sweet-toned structure with gentle, round acidity; velvety-smooth mouthfeel. The finish consolidates to pretty notes of nougat and apricot, with a hint of cedar. ","This coffee tied for the third-highest rating in a cupping of Hawai’i-grown coffees for Coffee Review’s May 2019 tasting report. Produced by Rusty’s Hawaiian entirely of the Typica variety of Arabica and processed by the dry-processed or “natural” method, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Three Chairs Coffee was established in 2014 by Turgay YILDIZLI, the 2013 World Cezve/Ibrik Champion. Three Chairs offers coffees roasted to order for either Turkish or filtered coffee and is on a mission to improve the quality of Turkish coffee and introduce it to the specialty coffee world. The company has partnered with Rusty's Hawaiian for several years, highlighting Ka’u natural-processed coffees. Visit www.specialtyturkishcoffee.com for more information.","The fruit typical of a natural-processed coffee is pleasingly balanced here by deep nougat, citrus zest, and rich aromatic wood notes.","9.0,8.0,8.0,9.0,8.0"
533,Estate-Grown Mamo,"Kealakekua, Kona growing district, Big Island of Hawai'i",90,Greenwell Farms,8.0,8.0,8.0,9.0,7.0,"Sweet-savory, richly wood-framed. Date, spice box, fresh-cut fir, cocoa powder, rhododendron in aroma and cup. Sweetly savory in structure with round, gentle acidity; crisp, satiny mouthfeel. The finish is characterized by dried fruit and mixed baking spices animating fresh-cut aromatic wood. ","This coffee earned the fourth-highest rating in a cupping of Hawai’i-grown coffees for Coffee Review’s May 2019 tasting report. Mamo is a big-beaned hybrid of the rare Maragogipe and Mokka varieties of Arabica, developed over the last 20 years in Kona on the Big Island of Hawai’i under the leadership of Hawai’i-based scientist Chifumi Nagai. Greenwell Farms is one of the oldest coffee farms and mills in Kona, still owned and operated on a daily basis by Tom Greenwell, a direct descendent of the founders. Greenwell Estate Private Reserve designates coffee grown on the Greenwell farm itself. Other Greenwell coffees are milled by Greenwell but grown on a variety of other Kona farms. Visit www.greenwellfarms.com or call 1-888-592-5662 for more info.","An opportunity to taste one of the world’s rarest coffees, a hybrid that exemplifies the persistence and ingenuity of coffee scientists.","8.0,8.0,8.0,9.0,7.0"
534,Australian Blend Espresso,"Guji Zone, Oromia Region, southern Ethiopia",95,Greybox Coffee,9.0,0.0,8.0,9.0,9.0,"Evaluated as espresso. Complex, juicy, richly tart. Almond, dark chocolate, guava, tangerine zest, star jasmine in aroma and small cup. Light, very silky mouthfeel; chocolate, fruit and flowers all carry into a cleanly sweet, delicately drying finish. Flavor-saturated in three parts milk: almond, chocolate, guava, flowers all resonate in rich, custardy balance.  ","This exceptional coffee was selected as the No. 22 coffee on Coffee Review’s list of the Top 30 Coffees of 2019. A blend of wet- and natural-processed Ethiopia coffees. Greybox Coffee is a new specialty roaster and cafe based in Shanghai, China. Visit www.greyboxcoffee.com for more information.","Complete, balanced, yet striking and original espresso.","9.0,0.0,8.0,9.0,9.0"
535,Colombian Supremo,"Concordia, Colombia",90,Kirkland Signature (Costco),8.0,8.0,8.0,9.0,7.0,"Roasty-sweet, spice-toned. Banana, orange blossom, cocoa powder, scorched cedar, molasses in aroma and cup. Bittersweet structure with a brisk touch of acidity; plush, syrupy mouthfeel. The finish leads with notes of cocoa and orange blossom in the short, with scorched cedar and molasses in the long.",A washed-process coffee produced entirely of the Castillo variety of Arabica. Costco is a membership-only wholesaler and retailer with stores in most areas of the United States. Visit www.costco.com for more information.,"A deftly dark-roasted Colombia coffee with spicy florals, tropical fruit notes, and a deep molasses-like sweetness.","8.0,8.0,8.0,9.0,7.0"
537,Rwandan,Rwanda,87,Kirkland Signature (Costco),7.0,7.0,8.0,8.0,7.0,"Crisp, chocolaty, roast-framed. Baker’s chocolate, scorched oak, gardenia, hazelnut in aroma and cup. Sweet-savory structure with a touch of acidity; crisp, velvety mouthfeel. Smoky-sweet finish with chocolate notes throughout and a rich floral suggestion.",Costco is a membership-only wholesaler and retailer with stores in most areas of the United States. Visit www.costco.com for more information.,"An intensely aromatic, roasty wood-framed cup with deep chocolate and savory floral notes.","7.0,7.0,8.0,8.0,7.0"
538,Colombia Las Joyas: Fidencio Martinez Lot,"Narino Department, southern Colombia",91,Beanfruit Coffee Co.,9.0,8.0,9.0,8.0,7.0,"High-toned sweetness, crisply tart, pleasantly salty-edged. Dried apricot, tamarind, salted chocolate, cedar, magnolia in aroma and cup. Gently low-toned with balanced tart and salty/savory structure; briskly juicy acidity. Full, buttery mouthfeel. Flavor simplifies in the finish, with hints of salted cocoa and dry cedar carrying into the long.","This lot was produced by Fidencio Martinez, who operates one of five plots on the family estate. Processed by the honey method, which means that the outer skin is removed as it is in the wet or “washed” process, but at least some of the sticky fruit residue is allowed to dry on the bean and later removed by machine along with the parchment skin. BeanFruit Coffee Coffee Company is a small coffee-roasting company located in the Jackson, Mississippi area, founded on a desire to provide freshly roasted coffee to the Jackson area and educate local consumers about great-tasting coffee. Visit www.beanfruit.com or call 601-624-2605 for more information.","An attractively tart and savory honey-processed coffee. Try it with salty morning dishes, which should develop its subtle, complementary sweetness.","9.0,8.0,9.0,8.0,7.0"
539,Colombia Tolima Monteverde Estate Natural Wush Wush,"Tolima Department, Colombia",94,Dou Zhai Coffee & Roast,9.0,8.0,9.0,10.0,8.0,"Unorthodox but coherent and compelling. Pungent rose, fresh fennel frond, ripe cantaloupe, walnut, marshmallow in aroma and cup. Roundly sweet-savory in structure, with an impressively smooth, plush mouthfeel. Rose-like flowers prevail in a deeply rich finish. ","Produced on Monteverde Estate in Colombia by the Gilardo Gutierrez family from trees of the rare Ethiopia Wush Wush variety of Arabica. Processed by fermenting the fresh coffee fruit in an oxygen-free environment before drying it in the whole fruit. Dou Zhai Coffee is a café and roastery on a quiet lane in Taoyuan City, Taiwan, that offers a wide range of exceptional coffees. Visit www.douzhaicafe.com.tw for more information.","An extraordinary coffee, difficult to characterize in typical coffee language, yet deeply satisfying, ringing with quiet, resonant authority.","9.0,8.0,9.0,10.0,8.0"
540,Ethiopia Oromia Guji Washed,"Guji Zone, Oromia Region, southern Ethiopia",94,Dou Zhai Coffee & Roast,9.0,9.0,9.0,9.0,8.0,"Very sweet, floral, deeply rich. Date, tangerine zest, fresh pipe tobacco, freesia-like flowers, dark chocolate in aroma and cup. Complex and deeply rich structure; roundly tart acidity. Full, syrupy mouthfeel. The finish is dry but rings with rich tobacco and unsweetened chocolate far into the long.","Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian varieties of Arabica long grown in the region. This is a wet-processed or “washed” coffee, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. Dou Zhai Coffee is a café and roastery on a quiet lane in Taoyuan City, Taiwan, that offers a wide range of exceptional coffees. Visit www.douzhaicafe.com.tw for more information.","A deep, satisfying coffee, accessible yet resonantly complex.","9.0,9.0,9.0,9.0,8.0"
541,Yemen Matari,"Bani Matar growing region, Yemen",93,Baba Java Coffee,9.0,8.0,9.0,9.0,8.0,"Very sweet, richly perfumed, wood-framed. Pipe-tobacco, lychee fruit, spice box, freesia-like flowers, amber and musk in aroma and cup. Richly, densely composed structure, crisply tart acidity. Impressively syrupy-smooth mouthfeel. The finish consolidates pleasantly into a slightly drying though rich-toned, spicy tobacco.","Although Ethiopia is the botanical home of Coffea Arabica, Yemen introduced the beverage to the rest of the world in the 16th and 17th centuries, and Yemen coffee is still grown from ancient heirloom cultivars of arabica on stone-walled terraces ringing fortress-like mountaintop villages. All Yemen coffees are natural-processed, or dried in the whole fruit. This particular Yemen may owe its striking aromatics to ancient tree varieties, but its clean elegance is most likely owing to the efforts of exporter Rayyan Mill in the capital of Sana’a, which has worked with farmers to improve picturesque but often haphazard harvesting and drying procedures. Baba Java is a specialty roaster and cafe retailer located in Hoover Alabama, who strives to provide the best coffee experience at every step. Visit www.babajavacoffee.com or call 205-777-5984 for more information.","A complex and engaging rendition of the characteristically richly spicy, tobacco-toned, floral-fruity Yemen profile.","9.0,8.0,9.0,9.0,8.0"
542,Crema de Dolce Espresso,Central America; South America; Indonesia,93,Dragonfly Coffee Roasters,8.0,0.0,9.0,9.0,8.0,"Evaluated as espresso. Balanced, richly bittersweet. Baker’s chocolate, dried apricot, hop flowers, sandalwood, hazelnut butter in aroma and cup. Plush, creamy mouthfeel; bright, fruit-forward finish. In milk, crisp chocolate notes envelope notes of stone fruit and bittersweet florals in the short, with rich aromatic wood tones resurfacing in the long.","This coffee tied for the second-highest rating in a tasting of “classic” espresso blends for Coffee Review’s June 2019 tasting report. A blend of Arabica coffees from Central America, South America and  Indonesia. Boulder, Colorado-based Dragonfly Coffee was named 2019 Micro-Roaster of the Year by Roast magazine. Visit dragonflycoffeeroasters.com or call 303-579-2154 for more information.","A rich-toned straight shot, and an inviting espresso in milk: resonant and familiar in its harmonious bittersweetness.","8.0,0.0,9.0,9.0,8.0"
545,Old Crow Cuppa Joe,Central America; South America,93,Red Rooster Coffee Roaster,9.0,0.0,8.0,9.0,8.0,"Evaluated as espresso. Richly sweet, fruit-toned and chocolaty. Dark chocolate, dried cherry, fresh-cut fir, almond blossom, molasses in aroma and small cup. Full, satiny-smooth mouthfeel; flavor-saturated finish driven by chocolate and stone fruit notes. This blend sings in milk, elevating notes of both cherry and chocolate in lasting vibrancy.","This coffee tied for the second-highest rating in a tasting of “classic” espresso blends for Coffee Review’s June 2019 tasting report. A blend of both washed and natural-processed coffees from Central and South America. This coffee is certified organically grown and certified fair trade, the latter meaning it was purchased at no less than a minimum price determined by the certifying agency to be economically sustainable for the farmers. Established in 2010, Red Rooster is an organic-certified micro-roaster focusing on socially conscious coffee, high-quality coffee. Visit redroostercoffee.com or call 540-745-7338 for more information.","Suggests classic in its fusion of fruit and chocolate, but the inclusion of a natural-processed Central America coffee in the blend adds a newer-style, high-toned fruit note that is especially pretty in milk.","9.0,0.0,8.0,9.0,8.0"
546,Single-Origin Colombian Medium Roast,Colombia,84,Jiva Cubes Instant Coffee Packets,7.0,6.0,7.0,7.0,7.0,"Evaluated as an instant or soluble coffee at proportions of one cube of instant coffee mixed with 8.5 ounces (250 ml) of hot water. Delicately sweet-savory. Caramel, fir, cashew, lily hint of beef jerky in aroma and cup. Sweet-savory structure with little perceptible acidity; thin, smooth mouthfeel. The crisp finish centers around notes of cashew, caramel and beef jerky.","Jiva Cubes launched in 2017 after a successful Kickstarter campaign. The company’s inspiration is the instant “cubed coffees” founder Natalia Rodriguez discovered while visiting family in Colombia, and this sample is the first of her production that contains no sugar. For more information, visit www.jivacubes.com.","A highly portable, savory-leaning instant coffee with lingering notes of salty and sweet.","7.0,6.0,7.0,7.0,7.0"
547,Ethiopia Sidamo Sasaba,"Sidamo (also Sidama) growing region, south-central Ethiopia",92,Temple Coffee Roasters,9.0,8.0,8.0,9.0,8.0,"Richly sweet, cocoa-toned. Dark chocolate, apricot, hazelnut, lilac, maple syrup in aroma and cup. Balanced, bittersweet structure with rounded acidity; satiny-smooth mouthfeel. The finish is thoroughly chocolaty with undertones of apricot and hazelnut.","Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian varieties of Arabica long grown in the region. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.","A balanced, friendly natural-processed Ethiopia cup characterized by cocoa-toned stone fruit and delicate florals.","9.0,8.0,8.0,9.0,8.0"
548,Zambia Kateshi Natural Process,Zambia,92,Paradise Roasters,8.0,8.0,9.0,9.0,8.0,"Richly and cleanly fruit-toned. Bing cherry, freesia-like flowers, fruit taffy, fresh-cut oak, lemon verbena in aroma and cup. Sweet-toned structure with vivacious acidity; vibrant, creamy mouthfeel. Gentle, fruit-forward finish with spicy floral notes.","Produced at Kateshi and Isanya Estates from trees of the Bourbon and Catimor varieties of Arabica and processed by the natural, or sun-dried, method. Paradise Roasters specializes in microlot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information. ",A good choice for lovers of natural-processed coffees who prefer to avoid even a hint of sweet ferment; this cup is all clean fruit and florals.,"8.0,8.0,9.0,9.0,8.0"
549,Ethiopia Gedeb Worka Sakaro,"Gedeb District, Gedeo Zone, southern Ethiopia",95,Direct Coffee,9.0,9.0,9.0,9.0,9.0,"Deeply sweet, intensely pungent. Dark chocolate, pink grapefruit zest, wisteria, maple syrup, myrrh in aroma and cup. Deeply sweet-toned in structure with lively, juicy acidity; syrupy mouthfeel. The finish is long and satisfying: flavor-saturated, floral-, chocolate- and fruit-toned, harmoniously balanced.","Southern Ethiopia coffees like this one are produced from traditional Ethiopian varieties of Arabica long grown in the region. This is a wet-processed or “washed” coffee, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small, garden plots interplanted with food and other subsistence crops. Direct Coffee, founded in 2005, is a roastery located in the scenic city of Hsinchu, Taiwan. For the past 13 years, Direct Coffee has specialized in searching for high-quality coffee beans and roasting them to display their unique and distinctive characteristics. Visit https://www.directcoffee.com.tw/ for more information.","A vibrant, high-toned washed-processed Ethiopia cup with rich floral and citrus tones throughout, all enveloped in dark chocolate.","9.0,9.0,9.0,9.0,9.0"
550,La Belleza Colombia,"San Augustin, Huila, Colombia",94,JBC Coffee Roasters,9.0,9.0,9.0,9.0,8.0,"Balanced, high-toned, richly sweet. Molasses, crisp green tomato, wisteria, Nutella, fresh pipe tobacco in aroma and cup. Sweet-savory-tart structure; very syrupy mouthfeel. Rich-toned finish with notes of dark chocolate, hazelnut and wisteria.",Produced by Miguel Angel Ordonez entirely of the Caturra variety of Arabica and processed by the washed method. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.,"An intriguing Colombia cup with deep savory-sweetness, top notes of elegant flowers and undertones of earthy-sweet pipe tobacco.","9.0,9.0,9.0,9.0,8.0"
551,Colombia Pink Bourbon,"Huila, Colombia",94,Paradise Roasters,9.0,9.0,9.0,9.0,8.0,"Elegant, tropical, rich-toned. Strawberry guava, honeysuckle, almond, sandalwood, cacao nib in aroma and cup. Richly sweet structure with bright, vibrant acidity; lush, syrupy mouthfeel. Lingering notes of strawberry and honeysuckle in the delicate finish.","Produced by Angel Ortega and Irma Blancos (both members of the San Agustin Cooperative) entirely of the Pink Bourbon variety of Arabica and processed by the wet or washed method. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information. ",A beautiful fruit- and floral-toned Colombia cup with undertones of rich chocolate and resonant sandalwood.,"9.0,9.0,9.0,9.0,8.0"
552,Crystalina,"Caldas growing region, Colombia",94,Steady State Roasting Company,9.0,9.0,9.0,9.0,8.0,"Juicy, bright, deeply and richly sweet. Dried strawberry, toffee, lilac, myrrh, maple syrup in aroma and cup. Sweet-tart structure with vivacious acidity; full, syrupy mouthfeel. The resonant finish consolidates to notes of strawberry and toffee.","Produced by Luis Jose Valdes entirely of the Red Bourbon variety of Arabica. This is a dry-processed or “natural” coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Steady State Roasting is an award-winning small-batch roastery dedicated to the craft and care of providing specialty coffee. The company takes pride in sourcing unique, high-quality coffee direct from farmers so that customers can enjoy fine coffee at home or in the Steady State tasting room in downtown Carlsbad, California. Visit www.steadystateroasting.com for more information.","A lush, high-toned natural Colombia cup, as clean and bright as its name implies.","9.0,9.0,9.0,9.0,8.0"
553,Fruit Adventure Espresso Blend,Ethiopia,90,Sensory House Coffee,9.0,0.0,8.0,8.0,7.0,"Evaluated as espresso. Deeply sweet, richly tart, pungent. Dark chocolate, jasmine, mango, green tea, tangerine zest, cedar in aroma and small cup. Full and syrupy though slightly rough mouthfeel. The finish consolidates around quiet cocoa and citrus. Flowers and green tea in particular carry into three parts milk.","A blend consists of wet-processed and dry-processed coffees from Ethiopia. Sensory House is a roastery, espresso bar, equipment distributor and training lab based in the Kowloon City District of Hong Kong. Sensory House develops quality espresso blends and sources and roasts high-end single-origin coffees. Visit www.sensoryhouse.coffee to learn more.","A lighter-roasted blend of fine Ethiopia coffees for those who enjoy sweetly tart, high-toned espressos.","9.0,0.0,8.0,8.0,7.0"
554,Nuts Espresso Blend,Brazil; El Salvador,89,Sensory House Coffee,8.0,0.0,8.0,8.0,7.0,"Evaluated as espresso. Sweetly nutty with a slight salty edge. Nut (roasted almond, peanut-butter), dark chocolate, scorched oak, prune, pungent lily in aroma and small cup. Mouthfeel is lightly satiny. The short finish consolidates around bittersweet nut, with a slight drying edge in the long. In three parts milk, distinctly nutty and bittersweet with hints of cocoa.","This blend consists of an El Salvador and a dry-processed or natural Arabica from the Cerrado region of Brazil. Sensory House is a roastery, espresso bar, equipment distributor and training lab based in the Kowloon City District of Hong Kong. Sensory House develops quality espresso blends and sources and roasts high-end single-origin coffees. Visit www.sensoryhouse.coffee to learn more.",A moderately dark-roasted espresso blend that stays impressively true to the nut theme announced by its name.,"8.0,0.0,8.0,8.0,7.0"
555,Kenya Kiambu Gititu AA,"Kiambu growing region, south-central Kenya",94,Kakalove Cafe,9.0,9.0,9.0,9.0,8.0,"Richly savory-sweet, balanced, layered and lively. Red currant, maple syrup, honeysuckle, sandalwood, dark chocolate in aroma and cup. Deeply sweet-savory structure with juicy, confident acidity; full, syrupy mouthfeel. Long, flavor-saturated finish centers around red fruit and sweet-spicy floral notes.","Despite challenges ranging from contested government coffee policy and urban encroachment on prime coffee lands to chronically unstable weather, Kenya continues to produce some of the world’s most elegant and distinctive coffees. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.","A classic Kenya cup: bright, balanced, sweetly savory and deeply vibrant throughout.","9.0,9.0,9.0,9.0,8.0"
556,Hawaiian Kona 100%,"Kona growing district, Big Island of Hawai'i",93,Cafe Virtuoso,9.0,8.0,9.0,9.0,8.0,"Cleanly fruit-toned, richly sweet-tart. Raspberry, freesia, oak, pistachio, cacao nib in aroma and cup. Sweetly tart structure with gentle, rounded acidity; full, velvety mouthfeel. Raspberry and freesia notes animate the elegant, crisply sweet finish.","Certified organic. Produced by Robert and Dawn Barnes of Kona Rainforest Farm and processed by the natural, or sun-dried, method. Cafe Virtuoso is a small-batch coffee roaster that is ethically invested in procuring, roasting and delivering the highest quality and best-tasting organic coffee in San Diego. Visit www.cafevirtuoso.com or call 619-550-1830 for more information.","A pretty, richly fruit-toned natural-processed Kona cup, organic-certified.","9.0,8.0,9.0,9.0,8.0"
557,Guatemala Finca El General BlackLand Lot,"Acatenango growing region, central Guatemala",92,Kakalove Cafe,9.0,0.0,8.0,8.0,8.0,"Evaluated as espresso. Deep, rich, chocolaty. Dried apricot, dark chocolate, hazelnut, molasses, cedar in aroma and small cup. Satiny smooth mouthfeel; crisp, sweetly nut-toned finish. Chocolate leads in three parts milk, followed by notes of molasses and hazelnut.","Produced by Verónica Lantan Vela de Acajabon at Finca El General from trees of the Typica and Bourbon varieties of Arabica. This is a wet-processed or “washed” coffee, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. Acatenango is the name of a coffee-growing municipality as well as a famous volcano overlooking the Antigua Valley of Guatemala. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.","A friendly, cocoa- and nut-toned Guatemala espresso, both as straight shot and in cappuccino-scaled milk.","9.0,0.0,8.0,8.0,8.0"
558,Ninety Plus Gesha Estates JBC Custom Lot #252,"Chiriqui Province, far western Panama",94,JBC Coffee Roasters,9.0,0.0,9.0,10.0,8.0,"A complex and overwhelming aromatic immersion. Pink bubblegum, winter spices, salted fudge, candied ginger, elderflower, herbal liqueur (yellow chartreuse?) in aroma and cup. The structure is dramatic: basic tastes are all disconcertingly intense, including sweet, salt and savory, yet they all somehow layer and satisfy. Very full and syrupy mouthfeel with a spicy drying edge. The finish is resonant, slightly bittersweet though chocolaty and rich.","This coffee is a collaboration between brothers Michael Johnson of JBC Coffee Roasters and Joseph Brodsky of the Panama producer Ninety Plus Coffee. It was produced entirely from trees of the celebrated Gesha variety of Arabica, and processed by an unconventional, proprietary variation of the wet method in which the whole coffee fruit is subjected to fermentation and washing before drying. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.","A coffee that in its wild, unruly intensity and intriguing aromatic drama challenges the boundaries of what coffee is and can be.","9.0,0.0,9.0,10.0,8.0"
559,La Palma Y El Tucan Hero Series Colombia Sidra Lot #190,"Cundinamarca Department, central Colombia",96,Bird Rock Coffee Roasters,9.0,9.0,9.0,10.0,9.0,"Elaborate, vibrant, exhilarating. Dark chocolate truffle, strawberry guava, candied ginger, lilac, myrrh in aroma and cup. Crisply sweet-tart structure with bright, succulent acidity; very syrupy mouthfeel. The finish is zesty in the short and cocoa- and floral-toned in the long.","This exceptional coffee was selected as the No. 11 coffee on Coffee Review’s list of the Top 30 Coffees of 2019. Produced at La Palma Y El Tucan entirely from trees of the Sidra variety of Arabica, a hybrid of the old and respected varieties Red Bourbon and Typica. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Bird Rock Coffee Roasters is a retailer and wholesaler focused on organic and socially responsible coffees; it was awarded the “2012 Micro-Roaster of the Year” title by Roast Magazine. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.","A uniquely compelling coffee that is, at turns, spicy, floral, chocolaty and fruit-toned, yet in the end harmonious and complete.","9.0,9.0,9.0,10.0,9.0"
560,Suyusama Colombia,"Narino Department, southern Colombia",92,Bird Rock Coffee Roasters,9.0,8.0,8.0,9.0,8.0,"Richly bittersweet with pleasing savory undertones. Milk chocolate, hop flowers, apricot, narcissus, sandalwood in aroma and cup. Savory-sweet structure with brisk acidity; plush, satiny mouthfeel. Crisp, resonant finish with notes of milk chocolate and hop flowers. ","Suyusama means “beautiful place” in Quechua, the language of the indigenous people of the central Andes. Produced by Padre Joe from trees of the Castillo, Colombia and Caturra varieties of Arabica and processed by the washed method. Bird Rock Coffee Roasters is a retailer and wholesaler focused on organic and socially responsible coffees; it was awarded the “2012 Micro-Roaster of the Year” title by Roast Magazine. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.","A deeply rich Colombia coffee with equal parts sweet (chocolate, flowers, fruit) and savory (hop flowers): balanced and inviting.","9.0,8.0,8.0,9.0,8.0"
